 	Area	Mean	Min	Max
1	1932	37623.606	9537	58398
2	1406	40608.653	14309	59043
3	1260	41581.360	14329	58374
4	900	38479.771	12837	57052
5	675	36253.093	11793	56402
6	600	37061.317	12043	55540
7	506	41106.409	14807	58974
8	440	41507.589	16236	59143
9	323	40791.839	16209	59241
10	224	38624.491	19296	57920
11	224	42294.205	19462	58484
12	182	41879.385	21413	58692
13	144	42636.785	22949	57183
14	110	42114.818	25474	57826
15	56	36220.036	25886	49885
16	49	36890.041	27437	52375
17	42	37258.643	28318	50893
18	36	38477.361	29123	51975
19	25	36358.960	29561	44647
20	20	37146.550	30594	44835
21	12	37300.833	29920	47075
22	12	38276.917	31660	47184
23	12	36206.000	29832	43606
24	12	40432.000	33007	50743
